region_id,vb_x,vb_y,bbox_area,name,displayName,is_main,note
region_001,497.3,190.4,98351,中華人民共和国,中華人民共和国,True,
region_002,256.2,101.0,31952,カザフスタン,カザフスタン,True,
region_003,327.9,296.9,22780,インド,インド,True,
region_004,491.1,114.1,17581,モンゴル,モンゴル,True,
region_005,104.5,283.2,14520,サウジアラビア,サウジアラビア,True,
region_006,169.6,223.1,12817,イラン,イラン,True,
region_009,265.6,246.6,8042,パキスタン,パキスタン,True,
region_011,56.4,175.0,3907,トルコ,トルコ,True,
region_012,246.0,214.7,4656,アフガニスタン,アフガニスタン,True,
region_014,203.2,174.8,4945,トルクメニスタン,トルクメニスタン,True,
region_015,446.5,301.0,4656,ミャンマー,ミャンマー,True,
region_016,234.8,157.0,5886,ウズベキスタン,ウズベキスタン,True,
region_018,100.0,219.8,3522,イラク,イラク,True,
region_023,124.5,339.7,2713,イエメン,イエメン,True,
region_025,478.4,338.5,2728,タイ,タイ,True,
region_027,480.2,449.6,4750,インドネシア,インドネシア,True,
region_029,180.9,308.7,2536,オマーン,オマーン,True,
region_031,725.0,476.6,2115,インドネシア,インドネシア,False,
region_032,306.0,155.8,1760,キルギス,キルギス,True,
region_035,724.0,195.1,3565,日本,日本,True,
region_036,65.4,205.2,1383,シリア,シリア,True,
region_039,312.4,209.7,1435,パキスタン,パキスタン,False,
region_040,495.3,322.8,2450,ラオス,ラオス,True,
region_041,422.8,273.1,2305,インド,インド,False,
region_042,502.7,362.2,804,カンボジア,カンボジア,True,
region_043,280.9,180.3,1178,タジキスタン,タジキスタン,True,
region_044,650.0,168.8,1383,朝鮮民主主義人民共和国,朝鮮民主主義人民共和国,True,
region_045,364.4,255.3,1310,ネパール,ネパール,True,
region_047,406.5,286.4,879,バングラデシュ,バングラデシュ,True,
region_048,504.0,303.6,975,ベトナム,ベトナム,True,
region_049,519.5,365.4,1333,ベトナム,ベトナム,False,
region_051,655.0,196.6,495,大韓民国,大韓民国,True,
region_052,484.1,419.4,702,マレーシア,マレーシア,True,
region_053,98.2,150.5,700,ジョージア,ジョージア,True,
region_054,53.5,233.2,704,ヨルダン,ヨルダン,True,
region_055,127.0,165.2,541,アゼルバイジャン,アゼルバイジャン,True,
region_058,754.5,143.4,706,日本,日本,False,北海道
region_059,605.5,465.4,667,インドネシア,インドネシア,False,
region_062,609.9,338.2,435,フィリピン,フィリピン,True,フィリピン諸島
region_064,433.1,256.5,429,インド,インド,False,
region_065,170.3,285.7,474,アラブ首長国連邦,アラブ首長国連邦,True,
region_066,636.1,396.9,324,フィリピン,フィリピン,False,フィリピン諸島
region_068,342.4,396.4,228,スリランカ,スリランカ,True,
region_069,48.1,213.1,64,レバノン,レバノン,True,
region_070,41.6,233.4,158,イスラエル,イスラエル,True,
region_071,110.5,167.8,296,アルメニア,アルメニア,True,
region_072,115.7,173.6,41,アゼルバイジャン,アゼルバイジャン,False,
region_073,29.9,205.8,22,キプロス,キプロス,True,
region_074,124.5,246.6,50,クウェート,クウェート,True,
region_075,148.5,275.8,14,カタール,カタール,True,
region_076,144.5,273.4,1,バーレーン,バーレーン,True,
region_077,285.6,162.8,69,ウズベキスタン,ウズベキスタン,False,
region_078,273.5,164.7,27,タジキスタン,タジキスタン,False,
region_079,273.0,169.8,16,キルギス,キルギス,False,
region_080,408.4,261.3,164,ブータン,ブータン,True,
region_081,462.3,360.9,186,ミャンマー,ミャンマー,False,
region_082,466.1,391.1,303,タイ,タイ,False,タイ飛び地
region_083,478.2,404.1,18,タイ,タイ,False,タイ飛び地
region_084,496.0,437.7,2,シンガポール,シンガポール,True,
region_085,567.5,416.6,33,ブルネイ,ブルネイ,True,
region_086,608.9,288.2,156,台湾,台湾,True,
region_087,675.2,225.2,285,日本,日本,False,九州?
region_088,692.1,218.1,162,日本,日本,False,四国?
region_089,635.5,368.3,67,フィリピン,フィリピン,False,フィリピン諸島
region_090,621.6,381.8,71,フィリピン,フィリピン,False,フィリピン諸島
region_091,618.3,373.7,52,フィリピン,フィリピン,False,フィリピン諸島
region_092,567.4,422.9,2359,マレーシア,マレーシア,False,フィリピン諸島
region_093,609.1,361.8,44,フィリピン,フィリピン,False,フィリピン諸島
region_094,591.7,383.9,246,フィリピン,フィリピン,False,フィリピン諸島
region_095,633.5,374.2,15,フィリピン,フィリピン,False,フィリピン諸島
region_096,625.2,366.7,17,フィリピン,フィリピン,False,フィリピン諸島
region_097,630.0,382.4,8,フィリピン,フィリピン,False,フィリピン諸島
region_098,627.1,378.4,27,フィリピン,フィリピン,False,フィリピン諸島
region_099,630.0,356.2,1,フィリピン,フィリピン,False,フィリピン諸島
region_102,608.7,460.7,1890,インドネシア,インドネシア,False,
region_103,535.0,494.3,1045,インドネシア,インドネシア,False,
region_104,630.4,510.4,80,インドネシア,インドネシア,False,
region_105,640.5,504.9,87,東ティモール,東ティモール,True,
region_106,587.5,503.7,67,インドネシア,インドネシア,False,
region_108,601.5,511.4,58,インドネシア,インドネシア,False,
region_109,608.8,503.6,62,インドネシア,インドネシア,False,
region_110,562.3,447.8,3605,インドネシア,インドネシア,False,
region_112,569.4,501.6,23,インドネシア,インドネシア,False,
region_113,645.2,469.6,29,インドネシア,インドネシア,False,
region_114,676.7,497.3,15,インドネシア,インドネシア,False,
region_115,577.2,502.9,12,インドネシア,インドネシア,False,
region_116,664.8,468.4,108,インドネシア,インドネシア,False,
region_117,697.9,485.8,8,インドネシア,インドネシア,False,
region_118,631.6,501.5,7,インドネシア,インドネシア,False,
region_119,618.3,479.4,7,インドネシア,インドネシア,False,
region_120,695.7,490.2,5,インドネシア,インドネシア,False,
region_121,620.3,482.6,7,インドネシア,インドネシア,False,
region_122,624.4,501.8,2,インドネシア,インドネシア,False,
region_123,621.7,477.9,2,インドネシア,インドネシア,False,
region_124,643.2,497.6,2,インドネシア,インドネシア,False,
region_125,654.5,441.3,130,インドネシア,インドネシア,False,
region_126,291.4,408.8,2,モルディブ,モルディブ,False,モルディブ諸島
region_127,294.5,417.0,4,モルディブ,モルディブ,False,モルディブ諸島
region_128,290.5,418.9,1,モルディブ,モルディブ,False,モルディブ諸島
region_129,291.7,427.4,0,モルディブ,モルディブ,False,モルディブ諸島
region_130,292.3,430.3,3,モルディブ,モルディブ,False,モルディブ諸島
region_131,294.4,432.9,1,モルディブ,モルディブ,False,モルディブ諸島
region_132,293.0,442.2,7,モルディブ,モルディブ,True,モルディブ諸島
region_133,534.3,319.6,145,中華人民共和国,中華人民共和国,False,001南・048東の島
region_134,686.7,456.1,202,インドネシア,インドネシア,False,031と一体
region_135,688.9,468.0,36,インドネシア,インドネシア,False,031と一体
region_136,44.0,226.7,5,パレスチナ,パレスチナ,True,ヨルダン川西岸
region_137,37.8,233.2,1,パレスチナ,パレスチナ,False,ガザ
