region_id,name,displayName,is_main,x,y,note
region_000,テキサス州,テキサス州,True,355.4,358.3,
region_001,モンタナ州,モンタナ州,True,229.5,116.1,
region_002,アラスカ州,アラスカ州,True,79.0,463.0,アラスカ枠内
region_003,カリフォルニア州,カリフォルニア州,True,110.4,272.3,
region_004,オレゴン州,オレゴン州,True,99.8,168.3,
region_005,ネバダ州,ネバダ州,True,147.3,242.2,
region_006,ワイオミング州,ワイオミング州,True,256.7,183.7,
region_007,ニューメキシコ州,ニューメキシコ州,True,274.0,316.6,
region_008,ミネソタ州,ミネソタ州,True,415.6,126.5,
region_009,コロラド州,コロラド州,True,280.7,247.8,
region_010,アリゾナ州,アリゾナ州,True,207.2,318.4,
region_011,ノースダコタ州,ノースダコタ州,True,341.8,107.5,
region_012,ワシントン州,ワシントン州,True,,101.2 108.9,
region_013,サウスダコタ州,サウスダコタ州,True,345.0,159.7,
region_014,アイダホ州,アイダホ州,True,169.5,160.5,
region_015,ユタ州,ユタ州,True,206.9,242.7,
region_016,ネブラスカ州,ネブラスカ州,True,349.5,207.7,
region_017,カンザス州,カンザス州,True,367.1,256.0,
region_018,ミズーリ州,ミズーリ州,True,438.1,257.5,
region_019,ウィスコンシン州,ウィスコンシン州,True,468.0,156.5,
region_020,オクラホマ州,オクラホマ州,True,378.0,299.8,
region_021,アイオワ州,アイオワ州,True,425.7,198.6,
region_022,ニューヨーク州,ニューヨーク州,True,642.6,183.7,
region_023,ジョージア州,ジョージア州,True,546.8,342.1,
region_024,ペンシルベニア州,ペンシルベニア州,True,615.3,219.1,
region_025,アーカンソー州,アーカンソー州,True,438.6,310.5,
region_026,ミシガン州,ミシガン州,True,533.2,176.1,ミシガン下部半島
region_027,アラバマ州,アラバマ州,True,506.2,340.2,
region_028,ノースカロライナ州,ノースカロライナ州,True,596.5,300.6,
region_029,フロリダ州,フロリダ州,True,558.4,398.4,
region_030,オハイオ州,オハイオ州,True,554.7,228.3,
region_031,ミシシッピ州,ミシシッピ州,True,472.1,340.7,
region_032,メイン州,メイン州,True,718.0,143.4,
region_033,ルイジアナ州,ルイジアナ州,True,443.1,365.5,
region_034,テネシー州,テネシー州,True,512.2,296.3,
region_035,ケンタッキー州,ケンタッキー州,True,525.7,271.1,
region_036,インディアナ州,インディアナ州,True,513.4,233.9,
region_037,バージニア州,バージニア州,True,603.0,271.1,
region_038,サウスカロライナ州,サウスカロライナ州,True,577.9,324.3,
region_039,ウェストバージニア州,ウェストバージニア州,True,580.0,255.0,
region_040,ミシガン州,ミシガン州,False,500.0,127.8,ミシガン上部半島
region_041,バーモント州,バーモント州,True,677.0,164.7,
region_042,ニューハンプシャー州,ニューハンプシャー州,True,689.8,173.0,
region_043,マサチューセッツ州,マサチューセッツ州,True,685.9,194.9,
region_044,ニュージャージー州,ニュージャージー州,True,653.0,229.5,
region_045,コネチカット州,コネチカット州,True,676.5,206.7,
region_046,メリーランド州,メリーランド州,True,625.2,246.3,
region_047,ハワイ州,ハワイ州,True,237.9,528.9,ハワイ枠内
region_048,メリーランド州,メリーランド州,False,639.3,254.0,メリーランド東部
region_049,デラウェア州,デラウェア州,True,642.4,250.0,
region_050,ロードアイランド州,ロードアイランド州,True,689.6,205.2,
region_051,ワシントンD.C.,ワシントンD.C.,True,612.8,242.2,
region_052,イリノイ州,イリノイ州,True,478.1,230.9,
